Kata,Score,Avg Score,Won?,Karateka,Round #,Tournament
Ohan Dai,38.3,7.66,FALSE,Armada Ruiz Andrea,rr,2024 Paris
Ohan Dai,38.7,7.74,TRUE,Putri Aprilia Krisda,rr,2024 Paris
Kururunfa,40.7,8.14,TRUE,Dilara Bozan,rr,2024 Paris
Kururunfa,38.8,7.76,FALSE,Lanyfer Minano,rr,2024 Paris
Papuren,38.7,7.74,FALSE,Putri Aprilia Krisda,rr,2024 Paris
Papuren,39.3,7.86,TRUE,Dilara Bozan,rr,2024 Paris
Chibana,37.6,7.52,FALSE,Armada Ruiz Andrea,rr,2024 Paris
Ohan Dai,37.6,7.52,TRUE,Lanyfer Minano,rr,2024 Paris
Papuren,38.9,7.78,FALSE,Armada Ruiz Andrea,rr,2024 Paris
Ohan Dai,40.9,8.18,TRUE,Dilara Bozan,rr,2024 Paris
Suparinpei,38.3,7.66,FALSE,Putri Aprilia Krisda,rr,2024 Paris
Papuren,39.1,7.82,TRUE,Lanyfer Minano,rr,2024 Paris
Anan Dai,37.8,7.56,TRUE,Athina Tsiakmaki,rr,2024 Paris
Kururunfa,37.7,7.54,FALSE,Danni Williams,rr,2024 Paris
Suparinpei,39.4,7.88,FALSE,Veronika Miskova,rr,2024 Paris
Chibana,42.1,8.42,TRUE,Mirisa Ohuchi,rr,2024 Paris
Papuren,37.2,7.44,FALSE,Danni Williams,rr,2024 Paris
Kururunfa,38.9,7.78,TRUE,Veronika Miskova,rr,2024 Paris
Suparinpei,37.7,7.54,FALSE,Athina Tsiakmaki,rr,2024 Paris
Suparinpei,40.9,8.18,TRUE,Mirisa Ohuchi,rr,2024 Paris
Papuren,39.3,7.86,FALSE,Athina Tsiakmaki,rr,2024 Paris
Papuren,39.9,7.98,TRUE,Veronika Miskova,rr,2024 Paris
Anan,37.5,7.5,FALSE,Danni Williams,rr,2024 Paris
Nipaipo,41.6,8.32,TRUE,Mirisa Ohuchi,rr,2024 Paris
Chibana,38.6,7.72,TRUE,Morales Ozuna Gema,rr,2024 Paris
Papuren,37,7.4,FALSE,Alexandra Feracci,rr,2024 Paris
Kururunfa,39.7,7.94,TRUE,Terryana D'Onofrio,rr,2024 Paris
Papuren,34.9,6.98,FALSE,Shirley Jay,rr,2024 Paris
Kishimoto,39,7.8,FALSE,Alexandra Feracci,rr,2024 Paris
Ohan Dai,41,8.2,TRUE,Terryana D'Onofrio,rr,2024 Paris
Suparinpei,39.4,7.88,TRUE,Morales Ozuna Gema,rr,2024 Paris
Chatanyara,39.3,7.86,FALSE,Shirley Jay,rr,2024 Paris
Chatanyara,39.4,7.88,FALSE,Morales Ozuna Gema,rr,2024 Paris
Papuren,41,8.2,TRUE,Terryana D'Onofrio,rr,2024 Paris
Kururunfa,39.5,7.9,TRUE,Alexandra Feracci,rr,2024 Paris
Anan Dai,37.9,7.58,FALSE,Shirley Jay,rr,2024 Paris
Papuren,39.1,7.82,TRUE,Lo Sum Man,rr,2024 Paris
Ohan Dai,36.9,7.38,FALSE,Semblano Mariana,rr,2024 Paris
Chatanyara,40.6,8.12,TRUE,Saeko Azuma,rr,2024 Paris
Papuren,39.7,7.94,FALSE,Sakura Kokumai,rr,2024 Paris
Suparinpei,37.8,7.56,FALSE,Semblano Mariana,rr,2024 Paris
Suparinpei,41.3,8.26,TRUE,Saeko Azuma,rr,2024 Paris
Chatanyara,39.3,7.86,FALSE,Lo Sum Man,rr,2024 Paris
Chibana,39.6,7.92,TRUE,Sakura Kokumai,rr,2024 Paris
Suparinpei,39.7,7.94,FALSE,Lo Sum Man,rr,2024 Paris
Papuren,42.1,8.42,TRUE,Saeko Azuma,rr,2024 Paris
Kururunfa,37.1,7.42,FALSE,Semblano Mariana,rr,2024 Paris
Kururunfa,39.8,7.96,TRUE,Sakura Kokumai,rr,2024 Paris
