Kata,Score,Avg Score,Won?,Karateka,Round #,Tournament
Papuren,40.7,8.14,FALSE,Jefferson Ortiz,rr,Paris
Gojushiho Sho,42.4,8.48,TRUE,Enes Ozdemir,rr,Paris
Ohan,43.5,8.7,TRUE,Sakichi Abe,rr,Paris
Papuren,38.6,7.72,FALSE,Dyun Kimura,rr,Paris
Unsu,42.8,8.56,TRUE,Enes Ozdemir,rr,Paris
Ohan Dai,42,8.4,FALSE,Sakichi Abe,rr,Paris
Anan Dai,40.8,8.16,TRUE,Jefferson Ortiz,rr,Paris
Ohan Dai,39.4,7.88,FALSE,Dyun Kimura,rr,Paris
Ohan Dai,40.9,8.18,FALSE,Jefferson Ortiz,rr,Paris
Anan Dai,43.3,8.66,TRUE,Sakichi Abe,rr,Paris
Gojushiho Dai,42.1,8.42,TRUE,Enes Ozdemir,rr,Paris
Anan,38.8,7.76,FALSE,Dyun Kimura,rr,Paris
Gojushiho Sho,40.6,8.12,FALSE,Mohammad Hussain,rr,Paris
Gojushiho Sho,41.4,8.28,TRUE,Alessandro Iodice,rr,Paris
Chatanyara,38.6,7.72,FALSE,James Harrison,rr,Paris
Ohan,42.4,8.48,TRUE,Ariel Torres,rr,Paris
Enpi,40.3,8.06,TRUE,Alessandro Iodice,rr,Paris
Papuren,38.9,7.78,FALSE,James Harrison,rr,Paris
Gojushiho Dai,39.2,7.84,FALSE,Mohammad Hussain,rr,Paris
Kururunfa,41.8,8.36,TRUE,Ariel Torres,rr,Paris
Unsu,39.6,7.92,TRUE,Mohammad Hussain,rr,Paris
Suparinpei,38,7.6,FALSE,James Harrison,rr,Paris
Unsu,41.5,8.3,FALSE,Alessandro Iodice,rr,Paris
Ohan Dai,43.2,8.64,TRUE,Ariel Torres,rr,Paris
Gojushiho Dai,40.5,8.1,FALSE,Almosawi Sayed Mohammed,rr,Paris
Ohan,41.3,8.26,TRUE,Howard Hung Ho Wai,rr,Paris
Anan Dai,41.7,8.34,TRUE,Ryonosuke Kikuchi,rr,Paris
Unsu,38.8,7.76,FALSE,Ahmad Zigi Zaresta Yuda,rr,Paris
Chibana Kusanku,40.9,8.18,FALSE,Howard Hung Ho Wai,rr,Paris
Ohan Dai,41.4,8.28,TRUE,Ryonosuke Kikuchi,rr,Paris
Unsu,40.6,8.12,TRUE,Almosawi Sayed Mohammed,rr,Paris
Gankaku,39.9,7.98,FALSE,Ahmad Zigi Zaresta Yuda,rr,Paris
Gojushiho Sho,41,8.2,FALSE,Almosawi Sayed Mohammed,rr,Paris
Anan,42.3,8.46,TRUE,Ryonosuke Kikuchi,rr,Paris
Ohan Dai,41.6,8.32,TRUE,Howard Hung Ho Wai,rr,Paris
Sochin,39.8,7.96,FALSE,Ahmad Zigi Zaresta Yuda,rr,Paris
Gojushiho Sho,42.5,8.5,TRUE,Ryuji Moto,rr,Paris
Gojushiho Sho,39.2,7.84,FALSE,Saber Benmekhlouf,rr,Paris
Papuren,40.1,8.02,FALSE,Yuki Ujihara,rr,Paris
Kururunfa,42.4,8.48,TRUE,Damian Quintero,rr,Paris
Unsu,39.8,7.96,FALSE,Saber Benmekhlouf,rr,Paris
Kururunfa,40.7,8.14,TRUE,Yuki Ujihara,rr,Paris
Sochin,43.4,8.68,TRUE,Ryuji Moto,rr,Paris
Anan Dai,42.8,8.56,FALSE,Damian Quintero,rr,Paris
Enpi,42.5,8.5,TRUE,Ryuji Moto,rr,Paris
Suparinpei,40.9,8.18,FALSE,Yuki Ujihara,rr,Paris
Gojushiho Dai,40.3,8.06,FALSE,Saber Benmekhlouf,rr,Paris
Pachu,42.1,8.42,TRUE,Damian Quintero,rr,Paris
Chibana Kusanku,41,8.2,FALSE,Martin Romero Raul,rr,Paris
Gojushiho Dai,42.6,8.52,TRUE,Kazumasa Moto,rr,Paris
Gojushiho Sho,40.4,8.08,TRUE,Alessio Ghinami,rr,Paris
Suparinpei,38.3,7.66,FALSE,Roman Hrcka,rr,Paris
Unsu,42.3,8.46,TRUE,Kazumasa Moto,rr,Paris
Gojushiho Dai,40.5,8.1,FALSE,Alessio Ghinami,rr,Paris
Ohan Dai,40.5,8.1,TRUE,Martin Romero Raul,rr,Paris
Papuren,39.1,7.82,FALSE,Roman Hrcka,rr,Paris
Chatanyara,41.9,8.38,TRUE,Martin Romero Raul,rr,Paris
Unsu,40.6,8.12,FALSE,Alessio Ghinami,rr,Paris
Sochin,42,8.4,TRUE,Kazumasa Moto,rr,Paris
Chibana Kusanku,39.2,7.84,FALSE,Roman Hrcka,rr,Paris
Kanku Sho,38.3,7.66,FALSE,Jonas Abu Wahib,rr,Paris
Gojushiho Sho,38.7,7.74,TRUE,Franck Ngoan,rr,Paris
Chatanyara,40,8,FALSE,Taishi Tozaki,rr,Paris
Gojushiho Dai,42.2,8.44,TRUE,Ali Sofuoglu,rr,Paris
Unsu,40.5,8.1,TRUE,Franck Ngoan,rr,Paris
Anan Dai,40.4,8.08,FALSE,Taishi Tozaki,rr,Paris
Unsu,38.9,7.78,FALSE,Jonas Abu Wahib,rr,Paris
Sochin,41.3,8.26,TRUE,Ali Sofuoglu,rr,Paris
Gojushiho Dai,40.2,8.04,FALSE,Jonas Abu Wahib,rr,Paris
