Kata,Score,Avg Score,Won?,Karateka,Round #,Tournament
Papuren,40.7,8.14,FALSE,Ortiz Aquino Jefferson,rr,2024 Paris
Gojushiho Sho,42.4,8.48,TRUE,Enes Ozdemir,rr,2024 Paris
Ohan,43.5,8.7,TRUE,Sakichi Abe,rr,2024 Paris
Papuren,38.6,7.72,FALSE,Dyun Kimura,rr,2024 Paris
Unsu,42.8,8.56,TRUE,Enes Ozdemir,rr,2024 Paris
Ohan Dai,42,8.4,FALSE,Sakichi Abe,rr,2024 Paris
Anan Dai,40.8,8.16,TRUE,Ortiz Aquino Jefferson,rr,2024 Paris
Ohan Dai,39.4,7.88,FALSE,Dyun Kimura,rr,2024 Paris
Ohan Dai,40.9,8.18,FALSE,Ortiz Aquino Jefferson,rr,2024 Paris
Anan Dai,43.3,8.66,TRUE,Sakichi Abe,rr,2024 Paris
Gojushiho Dai,42.1,8.42,TRUE,Enes Ozdemir,rr,2024 Paris
Anan,38.8,7.76,FALSE,Dyun Kimura,rr,2024 Paris
Gojushiho Sho,40.6,8.12,FALSE,Mohammad Hussain,rr,2024 Paris
Gojushiho Sho,41.4,8.28,TRUE,Alessandro Iodice,rr,2024 Paris
Chatanyara,38.6,7.72,FALSE,James Harrison,rr,2024 Paris
Ohan,42.4,8.48,TRUE,Ariel Torres,rr,2024 Paris
Enpi,40.3,8.06,TRUE,Alessandro Iodice,rr,2024 Paris
Papuren,38.9,7.78,FALSE,James Harrison,rr,2024 Paris
Gojushiho Dai,39.2,7.84,FALSE,Mohammad Hussain,rr,2024 Paris
Kururunfa,41.8,8.36,TRUE,Ariel Torres,rr,2024 Paris
Unsu,39.6,7.92,TRUE,Mohammad Hussain,rr,2024 Paris
Suparinpei,38,7.6,FALSE,James Harrison,rr,2024 Paris
Unsu,41.5,8.3,FALSE,Alessandro Iodice,rr,2024 Paris
Ohan Dai,43.2,8.64,TRUE,Ariel Torres,rr,2024 Paris
Gojushiho Dai,40.5,8.1,FALSE,Almosawi Sayed Mohammed,rr,2024 Paris
Ohan,41.3,8.26,TRUE,Howard Hung Ho Wai,rr,2024 Paris
Anan Dai,41.7,8.34,TRUE,Ryonosuke Kikuchi,rr,2024 Paris
Unsu,38.8,7.76,FALSE,Zaresta Yuda Ahmad Zigi,rr,2024 Paris
Chibana,40.9,8.18,FALSE,Howard Hung Ho Wai,rr,2024 Paris
Ohan Dai,41.4,8.28,TRUE,Ryonosuke Kikuchi,rr,2024 Paris
Unsu,40.6,8.12,TRUE,Almosawi Sayed Mohammed,rr,2024 Paris
Gankaku,39.9,7.98,FALSE,Zaresta Yuda Ahmad Zigi,rr,2024 Paris
Gojushiho Sho,41,8.2,FALSE,Almosawi Sayed Mohammed,rr,2024 Paris
Anan,42.3,8.46,TRUE,Ryonosuke Kikuchi,rr,2024 Paris
Ohan Dai,41.6,8.32,TRUE,Howard Hung Ho Wai,rr,2024 Paris
Sochin,39.8,7.96,FALSE,Zaresta Yuda Ahmad Zigi,rr,2024 Paris
Gojushiho Sho,42.5,8.5,TRUE,Ryuji Moto,rr,2024 Paris
Gojushiho Sho,39.2,7.84,FALSE,Saber Benmekhlouf,rr,2024 Paris
Papuren,40.1,8.02,FALSE,Yuki Ujihara,rr,2024 Paris
Kururunfa,42.4,8.48,TRUE,Damian Quintero,rr,2024 Paris
Unsu,39.8,7.96,FALSE,Saber Benmekhlouf,rr,2024 Paris
Kururunfa,40.7,8.14,TRUE,Yuki Ujihara,rr,2024 Paris
Sochin,43.4,8.68,TRUE,Ryuji Moto,rr,2024 Paris
Anan Dai,42.8,8.56,FALSE,Damian Quintero,rr,2024 Paris
Enpi,42.5,8.5,TRUE,Ryuji Moto,rr,2024 Paris
Suparinpei,40.9,8.18,FALSE,Yuki Ujihara,rr,2024 Paris
Gojushiho Dai,40.3,8.06,FALSE,Saber Benmekhlouf,rr,2024 Paris
Pachu,42.1,8.42,TRUE,Damian Quintero,rr,2024 Paris
Chibana,41,8.2,FALSE,Martin Romero Raul,rr,2024 Paris
Gojushiho Dai,42.6,8.52,TRUE,Kazumasa Moto,rr,2024 Paris
Gojushiho Sho,40.4,8.08,TRUE,Alessio Ghinami,rr,2024 Paris
Suparinpei,38.3,7.66,FALSE,Roman Hrcka,rr,2024 Paris
Unsu,42.3,8.46,TRUE,Kazumasa Moto,rr,2024 Paris
Gojushiho Dai,40.5,8.1,FALSE,Alessio Ghinami,rr,2024 Paris
Ohan Dai,40.5,8.1,TRUE,Martin Romero Raul,rr,2024 Paris
Papuren,39.1,7.82,FALSE,Roman Hrcka,rr,2024 Paris
Chatanyara,41.9,8.38,TRUE,Martin Romero Raul,rr,2024 Paris
Unsu,40.6,8.12,FALSE,Alessio Ghinami,rr,2024 Paris
Sochin,42,8.4,TRUE,Kazumasa Moto,rr,2024 Paris
Chibana,39.2,7.84,FALSE,Roman Hrcka,rr,2024 Paris
