Kata,Score,Avg Score,Won?,Karateka,Round #,Tournament,Opponent
Papuren,40.7,8.14,FALSE,Ortiz Aquino Jefferson,rr,2024 Paris,Enes Ozdemir
Gojushiho Sho,42.4,8.48,TRUE,Enes Ozdemir,rr,2024 Paris,Ortiz Aquino Jefferson
Ohan,43.5,8.7,TRUE,Sakichi Abe,rr,2024 Paris,Dyun Kimura
Papuren,38.6,7.72,FALSE,Dyun Kimura,rr,2024 Paris,Sakichi Abe
Unsu,42.8,8.56,TRUE,Enes Ozdemir,rr,2024 Paris,Sakichi Abe
Ohan Dai,42,8.4,FALSE,Sakichi Abe,rr,2024 Paris,Enes Ozdemir
Anan Dai,40.8,8.16,TRUE,Ortiz Aquino Jefferson,rr,2024 Paris,Dyun Kimura
Ohan Dai,39.4,7.88,FALSE,Dyun Kimura,rr,2024 Paris,Ortiz Aquino Jefferson
Ohan Dai,40.9,8.18,FALSE,Ortiz Aquino Jefferson,rr,2024 Paris,Sakichi Abe
Anan Dai,43.3,8.66,TRUE,Sakichi Abe,rr,2024 Paris,Ortiz Aquino Jefferson
Gojushiho Dai,42.1,8.42,TRUE,Enes Ozdemir,rr,2024 Paris,Dyun Kimura
Anan,38.8,7.76,FALSE,Dyun Kimura,rr,2024 Paris,Enes Ozdemir
Gojushiho Sho,40.6,8.12,FALSE,Mohammad Hussain,rr,2024 Paris,Alessandro Iodice
Gojushiho Sho,41.4,8.28,TRUE,Alessandro Iodice,rr,2024 Paris,Mohammad Hussain
Chatanyara,38.6,7.72,FALSE,James Harrison,rr,2024 Paris,Ariel Torres
Ohan,42.4,8.48,TRUE,Ariel Torres,rr,2024 Paris,James Harrison
Enpi,40.3,8.06,TRUE,Alessandro Iodice,rr,2024 Paris,James Harrison
Papuren,38.9,7.78,FALSE,James Harrison,rr,2024 Paris,Alessandro Iodice
Gojushiho Dai,39.2,7.84,FALSE,Mohammad Hussain,rr,2024 Paris,Ariel Torres
Kururunfa,41.8,8.36,TRUE,Ariel Torres,rr,2024 Paris,Mohammad Hussain
Unsu,39.6,7.92,TRUE,Mohammad Hussain,rr,2024 Paris,James Harrison
Suparinpei,38,7.6,FALSE,James Harrison,rr,2024 Paris,Mohammad Hussain
Unsu,41.5,8.3,FALSE,Alessandro Iodice,rr,2024 Paris,Ariel Torres
Ohan Dai,43.2,8.64,TRUE,Ariel Torres,rr,2024 Paris,Alessandro Iodice
Gojushiho Dai,40.5,8.1,FALSE,Almosawi Sayed Mohammed,rr,2024 Paris,Howard Hung Ho Wai
Ohan,41.3,8.26,TRUE,Howard Hung Ho Wai,rr,2024 Paris,Almosawi Sayed Mohammed
Anan Dai,41.7,8.34,TRUE,Ryonosuke Kikuchi,rr,2024 Paris,Zaresta Yuda Ahmad Zigi
Unsu,38.8,7.76,FALSE,Zaresta Yuda Ahmad Zigi,rr,2024 Paris,Ryonosuke Kikuchi
Chibana,40.9,8.18,FALSE,Howard Hung Ho Wai,rr,2024 Paris,Ryonosuke Kikuchi
Ohan Dai,41.4,8.28,TRUE,Ryonosuke Kikuchi,rr,2024 Paris,Howard Hung Ho Wai
Unsu,40.6,8.12,TRUE,Almosawi Sayed Mohammed,rr,2024 Paris,Zaresta Yuda Ahmad Zigi
Gankaku,39.9,7.98,FALSE,Zaresta Yuda Ahmad Zigi,rr,2024 Paris,Almosawi Sayed Mohammed
Gojushiho Sho,41,8.2,FALSE,Almosawi Sayed Mohammed,rr,2024 Paris,Ryonosuke Kikuchi
Anan,42.3,8.46,TRUE,Ryonosuke Kikuchi,rr,2024 Paris,Almosawi Sayed Mohammed
Ohan Dai,41.6,8.32,TRUE,Howard Hung Ho Wai,rr,2024 Paris,Zaresta Yuda Ahmad Zigi
Sochin,39.8,7.96,FALSE,Zaresta Yuda Ahmad Zigi,rr,2024 Paris,Howard Hung Ho Wai
Gojushiho Sho,42.5,8.5,TRUE,Ryuji Moto,rr,2024 Paris,Saber Benmekhlouf
Gojushiho Sho,39.2,7.84,FALSE,Saber Benmekhlouf,rr,2024 Paris,Ryuji Moto
Papuren,40.1,8.02,FALSE,Yuki Ujihara,rr,2024 Paris,Damian Quintero
Kururunfa,42.4,8.48,TRUE,Damian Quintero,rr,2024 Paris,Yuki Ujihara
Unsu,39.8,7.96,FALSE,Saber Benmekhlouf,rr,2024 Paris,Yuki Ujihara
Kururunfa,40.7,8.14,TRUE,Yuki Ujihara,rr,2024 Paris,Saber Benmekhlouf
Sochin,43.4,8.68,TRUE,Ryuji Moto,rr,2024 Paris,Damian Quintero
Anan Dai,42.8,8.56,FALSE,Damian Quintero,rr,2024 Paris,Ryuji Moto
Enpi,42.5,8.5,TRUE,Ryuji Moto,rr,2024 Paris,Yuki Ujihara
Suparinpei,40.9,8.18,FALSE,Yuki Ujihara,rr,2024 Paris,Ryuji Moto
Gojushiho Dai,40.3,8.06,FALSE,Saber Benmekhlouf,rr,2024 Paris,Damian Quintero
Pachu,42.1,8.42,TRUE,Damian Quintero,rr,2024 Paris,Saber Benmekhlouf
Chibana,41,8.2,FALSE,Martin Romero Raul,rr,2024 Paris,Kazumasa Moto
Gojushiho Dai,42.6,8.52,TRUE,Kazumasa Moto,rr,2024 Paris,Martin Romero Raul
Gojushiho Sho,40.4,8.08,TRUE,Alessio Ghinami,rr,2024 Paris,Roman Hrcka
Suparinpei,38.3,7.66,FALSE,Roman Hrcka,rr,2024 Paris,Alessio Ghinami
Unsu,42.3,8.46,TRUE,Kazumasa Moto,rr,2024 Paris,Alessio Ghinami
Gojushiho Dai,40.5,8.1,FALSE,Alessio Ghinami,rr,2024 Paris,Kazumasa Moto
Ohan Dai,40.5,8.1,TRUE,Martin Romero Raul,rr,2024 Paris,Roman Hrcka
Papuren,39.1,7.82,FALSE,Roman Hrcka,rr,2024 Paris,Martin Romero Raul
Chatanyara,41.9,8.38,TRUE,Martin Romero Raul,rr,2024 Paris,Alessio Ghinami
Unsu,40.6,8.12,FALSE,Alessio Ghinami,rr,2024 Paris,Martin Romero Raul
Sochin,42,8.4,TRUE,Kazumasa Moto,rr,2024 Paris,Roman Hrcka
Chibana,39.2,7.84,FALSE,Roman Hrcka,rr,2024 Paris,Kazumasa Moto
Kanku Sho,38.3,7.66,FALSE,Abu Wahib Jonas,rr,2024 Paris,Franck Ngoan
Gojushiho Sho,38.7,7.74,TRUE,Franck Ngoan,rr,2024 Paris,Abu Wahib Jonas
Chatanyara,40,8,FALSE,Taishi Tozaki,rr,2024 Paris,Ali Sofuoglu
Gojushiho Dai,42.2,8.44,TRUE,Ali Sofuoglu,rr,2024 Paris,Taishi Tozaki
Unsu,40.5,8.1,TRUE,Franck Ngoan,rr,2024 Paris,Taishi Tozaki
Anan Dai,40.4,8.08,FALSE,Taishi Tozaki,rr,2024 Paris,Franck Ngoan
Unsu,38.9,7.78,FALSE,Abu Wahib Jonas,rr,2024 Paris,Ali Sofuoglu
Sochin,41.3,8.26,TRUE,Ali Sofuoglu,rr,2024 Paris,Abu Wahib Jonas
Gojushiho Dai,40.2,8.04,FALSE,Abu Wahib Jonas,rr,2024 Paris,Taishi Tozaki
Anan,41.9,8.38,TRUE,Taishi Tozaki,rr,2024 Paris,Abu Wahib Jonas
Kanku Sho,40.5,8.1,FALSE,Franck Ngoan,rr,2024 Paris,Ali Sofuoglu
Unsu,41.6,8.32,TRUE,Ali Sofuoglu,rr,2024 Paris,Franck Ngoan
Gojushiho Sho,38.7,7.74,FALSE,Petru Comanescu,rr,2024 Paris,Botond Nagy
Papuren,39.4,7.88,TRUE,Botond Nagy,rr,2024 Paris,Petru Comanescu
Unsu,40.3,8.06,TRUE,Almosawi Sayed Salman,rr,2024 Paris,Mattia Busato
Anan Dai,40.2,8.04,FALSE,Mattia Busato,rr,2024 Paris,Almosawi Sayed Salman
Anan Dai,39.8,7.96,TRUE,Botond Nagy,rr,2024 Paris,Almosawi Sayed Salman
Gojushiho Dai,39.6,7.92,FALSE,Almosawi Sayed Salman,rr,2024 Paris,Botond Nagy
Unsu,39.2,7.84,FALSE,Petru Comanescu,rr,2024 Paris,Mattia Busato
Unsu,40.9,8.18,TRUE,Mattia Busato,rr,2024 Paris,Petru Comanescu
Kanku Sho,38.5,7.7,FALSE,Petru Comanescu,rr,2024 Paris,Almosawi Sayed Salman
